animal	dog	canis, canis e.
animal	cat	fēles, felis f.
animal	fish	piscis, piscis m.
animal	bird	avis, avis f.
animal	cow	vacca, vaccae f.
animal	pig	sūs, suis e.
animal	mouse	mūs, mūris e.
animal	horse	equus, equī m. equa, equae f.
animal	wing	āla, ālae f.
animal	animal	animal, animālis n.
transportation	train	trāmen, trāminis n.
transportation	plane	aëronavis, aëronavis f.
transportation	car	raeda, raedae f.
transportation	bicycle	birota, birotae f.
transportation	bus	raeda longa, raedae longae f.
transportation	boat	nāvīs, nāvis f.
transportation	petrol, oil	petroleum, petroleī n.
transportation	ticket	tessera, tesserae f.
location	city	urbs, urbis f.
location	house	domus, domūs f.
location	apartment	diaeta, diaetae f.
location	road	via, viae f.
location	airport	aëroportus, aëroportūs m.
location	railway station	statiō, statiōnis f.
location	bridge	pōns, pontis m.
location	hotel	dēversōrium, dēversōriī n.
location	restaurant	popīna, popīnae f.
location	farm	fundus, fundī m.
location	court	basilica, basilicae f.
location	school	lūdus, lūdī m.
location	room	conclāve, conclāvis n.
location	town	oppidum, oppidī n.
location	university	acadēmia, acadēmiae f.
location	bar	taberna, tabernae f.
location	park	horti, hortōrum m.
location	camp	castra, castrōrum n.
location	workshop	officīna, officīnae f.
location	shop	taberna, tabernae f.
location	theatre	theātrum, theātrī n.
location	library	bibliothēca, bibliothēcae f.
location	hospital	valētūdinārium, valētūdināriī n.
location	church	ecclēsia, ecclēsiae f.
location	market	forum, forī n.
location	building	aedificium, aedificiī n.
location	ground	solum, solī n.
location	bank	argentāria, argentāriae f.
location	location	locus, ī m. (pl. loca, locōrum n.)
clothing	hat	petasus, petasī m.
clothing	dress	stola, stolae f.
clothing	shirt	camīsia, camīsiae f.
clothing	trousers	brācae, brācārum f.
clothing	shoes	caligae, caligcārum f.
clothing	pocket	sinus, sinūs m.
clothing	stain	macula, maculae f.
clothing	clothing	vestis, vestis f.
colour	red	ruber, rubra, rubrum
colour	green	viridis, viride
colour	blue	caeruleus, caerulea, caeruleum 
colour	dark blue	cȳaneus, cȳanea, cȳaneum
colour	yellow	flāvus, flāva, flāvum
colour	brown	fulvus, fulva, fulvum 
colour	pink	pūniceus, pūnicea, pūniceum
colour	black	niger, nigra, nigrum
colour	white	albus, alba, album
colour	grey	cānus, cāna, cānum 
person	colour	color, colōris m.
person	son	fīlius, fīliī m.
person	daughter	fīlia, fīiliae f.
person	mother	māter, mātris f.
person	father	pater, patris m.
person	parent	parēns, parentis e.
person	baby	īnfāns, īnfantis e.
person	man	vir, virī m.
person	woman	fēmina, fēminae f.
person	brother	frāter, frātris m.
person	sister	soror, sorōris f.
person	family	familia, familiae f.
person	grandfather	avus, avī m.
person	grandmother	avia, aviae f.
person	husband	marītus, marīti m.
person	wife	uxor, uxōris f.
person	king	rēx, rēgis m.
person	queen	rēgīna, rēgīnae f.
person	president	praeses, praesidis e.
person	neighbour	vīcīnus, vīcīni m. vīcīna, vīcīnae f.
person	boy	puer, puerī m.
person	girl	puella, puellae f.
person	children	līberī, līberōrum e.
person	friend	amīcus, amīcī m. amica, amicae f.
person	player	lūsor, lūsōris e.
person	fan	fautor, fautōris e.
person	crowd	turba, trubae f.
person	person	homō, hominis e.
job	teacher	praeceptor, praeceptōris m. praeceptrīx, praeceptrīcis f.
job	student	discipulus, discipulī m. discipula, discipulae f.
job	lawyer	iūris cōnsultus, cōnsultī m. iūris cōnsulta, cōnsultae f.
job	doctor	medicus, medicī m. medica, medicae f.
job	patient	aeger, aegri m. aegra, aegrae f.
job	waiter	minister, ministrī m. ministra ministrae f.
job	secretary	scrība, scrībae e.
job	priest	sacerdōs, sacerdōtis e.
job	police	custōs, custōdis e.
job	army	exercitus, exercitūs m.
job	soldier	mīles, mīlitis e.
job	artist	artifex, artificis e.
job	author	scrīptor, scrīptōris e.
job	manager	praefectus, praefectī m. praefecta, praefectae f.
job	reporter	relātor, relātōris m. relātrix, relatrīcis f.
job	actor	histriō, histriōnis e.
job	job	opus, operis n.
society	religion	religiō, religiōnis f.
society	heaven	caelum, caelī n.
society	hell	īnferī, īnferōrum m. pl.
society	death	mors, mortis f.
society	medicine	medicāmentum, medicāmentī n. 
society	money	pecūnia, pecūniae f.
society	coin	nummus, nummī m.
society	pound (pound sterling or weight)	lībra, lībrae f.
society	dollar	talentum, talentī n.
society	marriage	coniugium, coniugiī n.
society	wedding	nuptiae, nuptiārum f. pl.
society	team	manus, manūs f.
society	sex (the act)	coitus, coitūs m.
society	sex (gender)	sexus, sexūs m.
society	murder	caedēs, caedis f.
society	prison	carcer, carceris m.
society	technology	artēs mēchanicae, artium mēchanicārum f. pl.
society	energy	vīs, vis f.
society	war	bellum, bellī n.
society	peace	pāx, pācis f.
society	attack	impetus, impetūs f.
society	election	suffrāgium, suffrāgiī n.
society	magazine	ephēmeridēs, ephēmeridum f. pl.
society	newspaper	ācta diurna, āctōrum diurnōrum n. pl.
society	poison	venēnum, venēnī n.
society	gun	sclopetum, sclopetī n.
society	sport	āthlētica, āthlēticōrum n. pl.
society	race (sport)	certāmen, certāminis n.
society	exercise	exercitātio (corporis), exercitātiōnis f.
society	ball	pila, pilae f.
society	game	lūdus, lūdī m.
society	price	pretium, pretiī n.
society	contract	pactio, pactiōnis f.
society	sign	signum, signī n.
society	science	historia nātūrālis, historiae nātūrālis f.
society	God	Deus, Deī m.
art	band	chorus, chorī m.
art	song	carmen, carminis n.
art	instrument (musical)	organum, organī n.
art	music	cantus, cantūs m.
art	film, movie	pellicula, pelliculae f.
art	art	ars, artis f.
beverages	coffee	caffēum, caffēī n.
beverages	tea	thea, theae f.
beverages	wine	vīnum, vīnī n.
beverages	beer	cervisia, cervisiae f.
beverages	juice	sūcus, sūcī m.
beverages	water	aqua, aquae f.
beverages	milk	lac, lactis n.
beverages	drink, beverage	pōtio, pōtiōnis f.
food	egg	ōvum, ovī n.
food	cheese	cāseus, cāseī m.
food	bread	pānis, pānis, m.
food	biscuit, cookie	crustulum, crustulī n.
food	soup	iūs, iūris n.
food	cake	placenta, placentae f.
food	chicken	pullus gallīnāceus, pullī gallīnāceī m.
food	pork	cāro suilla, carnis suillae f.
food	beef	cāro būbula, carnis būbulae f.
food	apple	mālum, mālī n.
food	banana	ariēna, ariēnae
food	orange	mālum aurantium, mālī aurantiī n.
food	lemon	mālum citreum, mālī citreī n.
food	pear	pirum, pirī n.
food	melon	mēlo, mēlōnis, m.
food	grapes	ūvae, ūvārum f. pl.
food	plum	prūnum, prūnī n.
food	strawberry	frāgum, frāgī n.
food	berry	bāca, bācae f.
food	spice or seasoning	condīmentum, condīmentī n.
food	herbs	herbae, herbārum f. pl.
food	grain (wheat, corn)	frūmentum, frūmentī n.
food	rice	orȳza, orȳzae f.
food	vegetable	holus, holeris n.
food	bean	faba, fabae f.
food	cabbage	brassica, brassicae f.
food	potato	mālum terrestre, mālī terrestris n.
food	salad	acētāria, acētāriōrum n. pl.
food	tomato	lycopersicum, lycopersicī n.
food	onion	caepa, caepae f.
food	pepper	capsicum, capsicī n.
food	carrot	carōta, carōtae f.
food	mushroom	fungus, fungī m.
food	cucumber	cucumis, cucumeris m.
food	leek	porrum, porrī n.
food	garlic	ālium, āliī n.
food	oil	oleum, oleī n.
food	honey	mel, mellis n.
food	mustard	mustardum, mustardī n.
food	jam, jelly	pōma condita, pōmōrum conditōrum n. pl.
food	butter	būtȳrum, būtȳrī n.
food	seed	sēmen, sēminis n.
food	knife	culter, cultrī m.
food	spoon	coclear, cocleāris n.
food	fork	fuscinula, fuscinulae f.
food	plate	patella, patellae f.
food	cup	pōculum, pōculī n.
food	breakfast	ientāculum, ientāculī n.
food	lunch	prandium, prandiī n.
food	dinner	cēna, cēnae f.
food	sugar	sacchārum, sacchārī n.
food	salt	sāl, salis m.
food	bottle	lagōna, lagōnae f. 
food	food	cibus, cibī m.
home	table	mēnsa, mēnsae f.
home	chair	sella, sellae f.
home	bed	lectus, lectī m.
home	dream	somnium, somniī n.
home	window	fenestra, fenestrae f.
home	door	iānua, iānuae f.
home	bedroom	cubiculum, cubiculī n.
home	kitchen	culīna, culīnae f.
home	bathroom	balneum, balneī n.
home	pencil	stilus cērussātus, stilī cērussāti m.
home	pen	calamus, calamī m. 
home	photograph	pictūra photographa, pictūrae photographae f.
home	soap	sāpō, sāpōnis m.
home	book	liber, librī m.
home	page	pāgina, pāginae f.
home	key	clāvis, clāvis f.
home	paint	pigmentum, pigmentī n.
home	letter	epistula, epistulae f.
home	wall	mūrus, mūrī m.
home	paper	charta, chartae f.
home	floor	solum, solī n.
home	ceiling	lacūnar, lacūnāris n.
home	roof	tēctum, tēctī n.
home	pool	piscīna, piscīnae f.
home	telephone	tēlēphonum, tēlēphonī n.
home	garden	hortus, hortī m.
home	yard	ārea, āreae f.
home	needle	acus, acūs f.
home	bag	saccus, saccī m.
home	box	arca, arcae f.
home	gift	dōnum, dōnī n.
home	ring	ānulus, ānulī m.
home	tool	īnstrūmentum, īnstrūmentī n.
home	clock	hōrologium, hōrologiī n.
home	lamp	lucerna, lucernae f.
home	fan	flābellum, flābellī n.
home	camera	camera obscūra, camerae obscūrae f.
body	head	caput, capitis n.
body	neck	collum, collī n.
body	face	faciēs, faciēī f. 
body	beard	barba, barbae f.
body	hair	crīnis, crīnis m.
body	eye	oculus, oculī m.
body	mouth	ōs, ōris n.
body	lip	labrum, labrī n.
body	nose	nāsus, nāsī m.
body	tooth	dēns, dentis m.
body	ear	auris, auris f.
body	tear drop	lacrima, lacrimae f.
body	tongue	lingua, linguae f.
body	back	tergum, tergī n.
body	toe	digitus, digitī m.
body	finger	digitus, digitī m.
body	foot	pēs, pedis m.
body	hand	manus, manūs f.
body	leg	crūs, crūris n.
body	arm	bracchium, bracchiī n.
body	shoulder	umerus, umerī m.
