lemma	lat	eng
ab	vēnimus ā theātrō	we are coming from the theatre
ab	ab urbe conditā	since the founding of the city
ab	laudārī ab aliquō	to be praised by someone
abdo	penitus in Āpūliam sē abdidit	he hid himself within Apulia
abeo	nōs Danaōs abiisse ratī urbe exiimus	we went out from the city, thinking that the Danaans had gone away
abstineo	(sē) cibō abstinēre	to abstain from food, to fast
absum	querēlae ab initiō operis meī certē absint	certainly let complaints be absent from the beginning of my work
accedo	accēdit quod, accēdit ut	it happened that
accendo	plēbis animum ōrātiōne accendit	he inflamed the passion of the masses with his speech
accido	cāsū accīdit ut id prīmus nūntiāret	it happened by chance that he first reported it
accipio	accipere pecūniam	to receive money
accipio	aliquem benignē accipere	to receive someone kindly
accipio	ā majōribus sīc accēpimus	so we learned from our ancestors
acer	equus ācer	a fiery horse
acies	multī in hāc aciē cecidērunt	many men perished on this battle-line
acies	cōpiās in aciem īnstruere	to marshal troops on the battle line
acutus	cacūmen collis acūtum	sharp summit of a hill
ad	tendere manūs ad caelum	to stretch one’s hands toward the sky
ad	duae cohortēs ad id ipsum īnstrūctae	two cohorts arranged for this very purpose
ad	vīlla quae est ad Baulōs	the villa which is near Bauli
addo	ea rēs multum animīs eōrum addidit	this affair added much to their courage
adduco	ferās gentēs in Italiam addūcere	to lead the savage peoples into Italy
adduco	hīs rēbus adductī	persuaded by these things
adeo	adeōne ignārus es ut haec nesciās?	are you so ignorant that you do not know this?
adsum	omnēs quī aderant	all who were present
adsum	sī fortūna coeptīs aderit	if fortune will stand by these undertakings
adhibeo	sīve medicum adhibuerīs sīve nōn adhibuerīs, convalēscēs	whether you call the doctor or you do not call him, you will recover
adhibeo	saevitiam in servōs adhibēre	to make use of brutality on slaves
adhuc	sī quis adhūc precibus locus	if there is still any place for prayers
adicio	ad bellī laudem doctrīnae et ingeniī glōriam adjēcit	he added to his military distinction the glory of culture and intellectual power.
adimo	alicui lībertātem adimere	to take away someone’s freedom
adipiscor	potentiam apud ūnum, odium apud omnēs adeptus est	he obtained power in the presence of one man, but hatred among all
adeo	abeam an maneam, adeam an fugiam?	should I go or stay, approach him or run away?
adeo	aliquem scrīptō adīre	to address someone in writing
aditus	aliquem aditū arcēre	to prevent someone from entering
adiungo	Ciliciam ad imperium Populī Rōmānī adjūnxit	he added Cilicia to the dominion of the Roman people
adiuvo	fortēs fortūna adiuvat	fortune favors the brave
administro	rem familiārem administrāre	to manage personal affairs
admiror	eum admīror atque dīligō	I admire him and esteem him
admiror	admīrātus sum brevitātem epistulae	I was surprised at the brevity of the letter
admoneo	Catilīna alium egestātis, alium cupīdinis suae admonēbat	Catiline was reminding one man of his destitution, another man of his own desire
admoneo	mē admonuit ut scrīberem ad tē	he advised me to write to you
adolescens	adolēscēns vel puer potius	a young man, or rather, a boy
adsto	arrēctīs auribus adstant	they stand with their ears upright
adventus	sub adventum triumvirōrum	just before the arrival of the triumvirs
adversus	vulnus adversum accipere	to receive a wound in the front
adversus	adversō amne	upstream
adversus	rēs adversae	adversity
adversus	ubi nēmō hostium adversus eum prōdiit	when no one of the enemies advanced against him
adversus	pietās est jūstitia adversus deōs	pietas is just conduct towards the gods
adulterium	in adulteriō dēprehendī	to be caught in adultery
aedes	aedēs Minervae	the temple of Minerva
aegre	bellum sūmitur facile, aegerrimē dēsinit	a war starts easily, but is only concluded with great difficulty
aegre	aegrē ferre aliquid	to bear something unwillingly
aeque	tibi sunt aequē nōtī ac mihi	they are equally well-known to you as to me
aequo	aliquem caelō laudibus aequāre	to make someone equal to the sky with praises
aequor	vastum maris aequor	the vast surface of the sea
aequus	aequam mementō rēbus in arduīs servāre mentem	be sure to preserve a level mind in adverse circumstances
aequus	praetor aequus et sapiēns	a fair and wise leader
aequus	oculīs aspicere aequīs	to behold with favorable eyes
aer	Anaximenēs āera deum statuit	Anaximenes postulated that the air was a god
aerius	āeriās carpere viās	to traverse the airy ways
aes	aes aliēnum	debt
aestas	aestāte ineunte	with summer beginning
aestimo	aliquid ūnīus assis aestimāre	to value something at one penny
aestus	delphīnēs aestum secābant	dolphins were cutting the surf
aestus	sōlis aestus	the heat from the sun
aetas	ā prīmā aetāte	from youth
aetas	reliqua aetās	the rest of life
aetas	aurea aetās	the golden age
aeternus	Rōma aeterna	eternal Rome
