ab	venimus a theatro	we are coming from the theatre
ab	ab urbe condita	since the founding of the city
ab	laudari ab aliquo	to be praised by someone
abdo	penitus in Apuliam se abdidit	he hid himself within Apulia
abeo	nos Danaos abiisse rati urbe exiimus	we went out from the city, thinking that the Danaans had gone away
abstineo	(se) cibo abstinere	to abstain from food, to fast
absum	querelae ab initio operis mei certe absint	certainly let complaints be absent from the beginning of my work
accedo	accedit quod; accedit ut	it also happened that
accendo	plebis animum oratione accendit	he inflamed the passion of the masses with the speech
accido	casu accidit ut id primus nuntiaret	it happened by chance that he first reported it
accipio	accipere pecuniam	to receive money
accipio	aliquem benigne accipere	to receive someone kindly
accipio	a maioribus sic accepimus	so we learned from our ancestors
acer	equus acer	a fiery horse
acies	multi in hac acie ceciderunt	many men perished on this battle-line
acies	copias in aciem instruere	to marshal troops on the battle line
acutus	cacumen collis acutum	sharp summit of a hill
ad	tendere manus ad caelum	to stretch one’s hands toward the sky
ad	duae cohortes ad id ipsum instructae	two cohorts arranged for this very purpose
ad	villa quae est ad Baulos	the villa which is near Bauli
addo	ea res multum animis eorum addidit	this affair added much to their courage
adduco	feras gentes in Italiam adducere	to lead the savage peoples into Italy
adduco	his rebus adducti	persuaded by these things
adeo	adeone ignarus es ut haec nescias?	are you so ignorant that you do not know this?
adsum	omnes qui aderant	all who were present
adsum	si fortuna coeptis aderit	if fortune will stand by these undertakings
adhibeo	sive medicum adhibueris sive non  adhibueris, convalesces	whether you call the doctor or you do not call him, you will recover
adhibeo	saevitiam in servos adhibere	to make use of brutality on servants
adhuc	si quis adhuc precibus locus	if there is still any place for prayers
adicio	ad belli laudem doctrinae et ingenii gloriam adiecit	he added to his military distinction the glory of culture and intellectual power.
adimo	alicui libertatem adimere	to take away someone’s freedom
adipiscor	potentiam apud unum, odium apud omnes adeptus est	he obtained power in the presence of one man, but hatred among all
adeo	abeam an maneam, adeam an fugiam?	should I go or stay, approach him or run away?
adeo	aliquem scripto adire	to address someone in writing
aditus	aliquem aditu arcere	to prevent someone from entering
adiungo	Ciliciam ad imperium populi Romani adiunxit	he added Cilicia to the dominion of the Roman people
adiuvo	fortes fortuna adiuvat	fortune favors the brave
administro	rem familiarem administrare	to manage family affairs
admiror	eum admiror atque diligo	I admire him and esteem him
admiror	admiratus sum brevitatem epistulae	I was surprised at the brevity of the letter
admoneo	Catilina alium egestatis, alium cupidinis suae admonebat	Catiline was reminding one man of his destitution, another man of his own desire
admoneo	me admonuit ut scriberem ad te	he advised me to write to you
adolescens	adolescens vel puer potius	a young man, or rather, a boy
adsto	arrectis auribus adstant	they stand with their ears upright
adventus	sub adventum triumvirorum	just before the arrival of the triumvirs
adversus	vulnus adversum accipere	to receive a wound in the front
adversus	adverso amne	upstream
adversus	res adversae	adversity
adversus	ubi nemo hostium adversus eum prodiit	when no one of the enemies advanced against him
adversus	pietas est iustitia adversus deos	pietas' is just conduct towards the gods
adulterium	in adulterio deprehendi	to be caught in adultery
aedes	aedes Minervae	the temple of Minerva
aegre	bellum sumitur facile, aegerrime desinit	war is taken up easily, but ceases with very much difficulty
aegre	aegre ferre aliquid	to bear something unwillingly
